graph,source,target,edge_type,matrix_i_j,matrix_j_i
pc_alpha_0p010_constraint_unconstrained,Income_Ratio,Age,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Waist_Circumference,Age,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Age,Vigorous_Activity,directed,-1,1
pc_alpha_0p010_constraint_unconstrained,Systolic_BP,Age,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Waist_Circumference,Gender,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Gender,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Diastolic_BP,Gender,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Total_Calories,Gender,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Protein_g,Gender,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Income_Ratio,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Sedentary_Minutes,Income_Ratio,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Diastolic_BP,Income_Ratio,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Income_Ratio,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Waist_Circumference,BMI,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Waist_Circumference,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Sedentary_Minutes,Waist_Circumference,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Vigorous_Activity,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Systolic_BP,Diastolic_BP,undirected,-1,-1
pc_alpha_0p010_constraint_unconstrained,Protein_g,Total_Calories,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Total_Calories,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Total_Calories,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Protein_g,Carbohydrates_g,directed,-1,1
pc_alpha_0p010_constraint_unconstrained,Protein_g,Total_Sugars_g,undirected,-1,-1
pc_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Carbohydrates_g,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Carbohydrates_g,directed,1,-1
pc_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Dietary_Fiber_g,undirected,-1,-1
